Emotion_value,Text_data
joy,feel must exspress sincere appriciation efforts
joy,feel better find voice physical body continue deteriorate
sadness,feeling disappointed making mistakes getting frustrated knowing lot things taryns words would ringing head
joy,feel complain companies becoming rich taxes imposed upon
sadness,found deeply moving read feel book read twice much discover second time around might missed first read
sadness,ive lived long feeling shitty picked feeling like odd one
sadness,feel little pained probably pass last illusions childhood
joy,worked hard holding technique tired feel sure improving
sadness,feel like kind boring
joy,guess im feeling really excited
sadness,know beyond shadow doubt loved feel unloved unworthy rejected ive ever felt
sadness,could curse swear angry sad happy moody etc etc things write feel kinda disturbed search queries displayed dashboard containing name full name blog name usual nickname
fear,feel reluctant supply motion picture score stars
anger,ill admit im bitchy sometimes feel time goes im getting bitchy relationships went past month mark
joy,feel always important career plan aiming towards something growing developing new skills
joy,obligations except thesis didnt already started missing something would make free time feel valuable
anger,couldnt help feeling little bit bitter towards great big happy grin
anger,sitting feeling bit grumpy moanday blues anyone else feeling way
joy,feel ecstatic happy anxious
joy,ive turned bit feeling casual
anger,feel really greedy wanting stuff mom asked make list
joy,feel like murdering innocent brain cells thinking hard rather meaningless issues really want maximise use weekends effed army phase
sadness,feel like youre ashamed seen public im bigger
joy,regret feel positive mediocre books think thats unfair detrimental books actually really liked gave similar rating review
joy,feel smart yet comfortable feel good wear
sadness,feel lousy daily basis
joy,couldnt help feel sincere gratitude blessings lord life lives children
sadness,feel steve irwins family tragic accident
joy,close eyes feel sweet gentle ache know
sadness,couldnt help feel people missed best day
anger,im feeling stressed retail therapy way
fear,feel like need tortured soul order create words whatever
joy,want extremely amp feel successful
fear,feel like tortured whole time
fear,may spent last hours feeling like tortured soul side sunshine rainbows
fear,im feeling little apprehensive party
joy,feel blessed cause thought mattered situation
sadness,feel like doomed failure
anger,much enjoyed build air suspense confusion throughout cant help feel dissatisfied ending
sadness,fell big time feel appropriately shamed
sadness,write sick means week feeling rotten means stalled novel
sadness,didnt feel emotional pulls toward anyone except lord
joy,feel assured foods grown organic free pesticides soil water contaminated good us
joy,feel pretty spot son
sadness,heap guilt feel worthless embarrassed lack productivity
sadness,entered depression feeling helpless hopeless adrift betrayed disillusioned wondering could trust
joy,ive definitely underwater feeling lately relieved take part lenten service church today one designed clear head transitory concerns
fear,believe guns solution feeling afraid
sadness,im sleeping better still generally feel exhausted hope feeling passes soon
anger,closed eyes anger feeling disgusted touch
anger,also chat feel frustrated guys think future husband
anger,suppose feeling little sarcastic today holiday
anger,im already feeling less agitated
sadness,feel dirty know
joy,feel perfect jumping point come
sadness,im feeling bit melancholy reason im going post hopefully discovery old thoughts goals help align focus bit
anger,feel like selfish really live life
sadness,feel even killed agonized extent
sadness,im going much gusto feel aching body already
sadness,happy progress also beginning feel little hopeless
sadness,feel physically sort aching im kind expecting response dont know would say ive got good idea
sadness,remember feeling helpless mother less hours already failed daughter
anger,wont feel resentful smothered annoyed
joy,well feel relieved talking clearing cobwebs psychopathology affects life working within overcome least manage
joy,feeling control comfortable adjusting terrain able push run
sadness,feel like missed calling id damn good special ed teacher
joy,also like try answer tough questions people feel free post
joy,try tackle issues bills make way congress well feel table issues resolved
anger,im feeling rather hostile whole hostel situation
joy,feeling little confident totally lost mojo time running
joy,hope use blog site put feelings words let look back see determined beautiful morning healthier
joy,eat rawly goodness feel radiant
joy,times feel complacent life
sadness,ive thinking recently theres times ive overwhelmed gratitude point tears times im thinking im im feeling incredibly ungrateful maybe also point tears wondering
joy,im feeling really festive tree amp decorated apart fairy shes still loft go find tomorrow
joy,feel confident good one
joy,would love go two reasons care people feel im sweet person think id good helping get
anger,girl entered division work greeted everybody
fear,try hold tongue try see point view inside feeling agitated irritable pressure please seem get self order
sadness,im strange situation feeling awkward sometimes switch comedian mode bit defence mechanism self conscious school days turned sessions katrinas minute stand routine
anger,certain friend tried push seat violent way apparent reason may excited something
sadness,worried would awkward would feel lonely
joy,feel passionate feeling utterly completely free
anger,hurt feelings refusing listen spiteful hurtful sniping others
joy,cleared head come back feeling determined career
anger,feel irritated annoyed today
fear,bit impractical thoughts feel makes life less doubtful
sadness,feel disturbed difficulties sleeping
sadness,feel weepy
fear,often feel overwhelmed office administration work required teacher
sadness,ive eaten today well ill give highlights feel like focusing negatives like unpleasant green curry thai club
sadness,im heartbroken love world think maybe im feeling heartbroken acutely came today every time ive asked stay somewhere past years ive left
anger,wrong feel aggravated
sadness,feel like fake lighting taken away immersed story
anger,feel rude thought dialed house
joy,feel ridiculously glamourous never want take may become recluse wear dressing gown day swan
joy,feel im getting less less vigorous
sadness,im feeling discontent sex life feel like crying like venting
joy,finally get right feel happily smug relieved piece work done
sadness,didnt feel shitty day wouldnt usually come right say shitty day
anger,probably lazy lounge around house possibly go pool depends im feeling bothered last day go back work yeah
joy,cant help feel excited part get hang start talk like friends talk watch live separate lives
sadness,feel empty lonely want cry cant want scream im afraid
anger,would guilty conscience would feel like heartless bitch
anger,weekend home
joy,feel like friendly chore without people around feel lonely
sadness,im feeling fairly miserable
sadness,feel low exhausted either watch movie listen poetry
sadness,scared wasnt even funny made feel pathetic stupid
sadness,im ready start shots two half weeks flies im feeling miserable thought peeps helping makes bearable experience point whole thing done dusted actually miss
joy,feel complacent choose secure path probably think id find adventure anything
anger,give probably degree might see much feel taken advantage wronged sense absolutely problem shutting walking away
sadness,feel embarrassed looking wedding dresses
joy,feel like way much products blog lately miss amazing home
sadness,consistently ask especially feeling low doubts future
sadness,im reading online world blogs start feeling pretty dumb
fear,go gym many times last spring kind got used feeling neurotic neurotic feeling kind went away
anger,cant really explain feeling get inside someone mad
anger,dont think happens lot feel insanely cranky couldnt get ear immediately
sadness,cant bothered coming pleasant pass time followed cascades positive feelings unless sexualy troubled
sadness,hate falling asleep napping day wake feeling groggy
fear,would constantly feel agitated
joy,feel totally comfortable without wealthy like feeling work hardly long time every single wish mind want become true
fear,feel afraid learned allow afraid
joy,like chain letters anything says must many things feel must give freely obligation must anything except sincere wish happy
joy,feeling something special simplicity something yet able put finger
sadness,visit every school later go tuition time even study exam next week feeling going fail lot subjects blamed either concentrating class studying
sadness,ive made week feel beaten
fear,feeling much sadness realising gone life like celebration longer harden hide scared others
sadness,feel begin compare others ugly painful thing
sadness,left feeling embarrassed stupid mission fuel coffee excuse
sadness,im feeling today youd think men beaten
anger,reason wonder confused feel angered say youre selfish say youre cold
sadness,feel bit stupid writing true
joy,feeling assured success ever
anger,still feelin kind irritable funky day goes
joy,feel like successful year old
joy,feel welcomed confidence belong
sadness,feel get bed dull throbbing hopelessness give way let forth renewed sensed hope reflect back accomplishments dig inner strength worked hard reestablish
sadness,feeling crappy long time something happen
joy,feel less respected less
sadness,know seems important feel unwelcome
anger,feel resentful towards bloggers writing even qualify feel offence since delhi girls obviously punjabi
joy,write words feel sweet baby kicks within memory refreshed would anything boy
sadness,feel burdened something holding still weighing
sadness,feel awkward high four steps
sadness,wait get feeling stressed absolutely hating studying
anger,feeling bit rebellious today
anger,feel petty thinking like feel stupid let things get easily
anger,buy books people feel equally fucked books zen approaches shitty situations
sadness,feel like shamed body felt pressure socially acceptable body size
joy,feel appreciative rights much freedom exercise freedoms every day voice
sadness,know takes lot present moment awareness part challenge accepting things set feeling wanting discontent
joy,feel hallmark sincere apology going let go
fear,aware concerned everyone give attention marriages deaths also equal seriousness elderly woman feels helpless know oven buy
joy,classes feel super strong capable
sadness,feel bit gloomy general entirely sure
joy,feel comfortable feel like im alone sure doesnt express love much tiny actions make
joy,left brands hatch feeling optimistic future said holland
joy,hoping could rock bikini belly summer im feeling cute stage
sadness,im around husband home alone thinking feel hopeless
fear,working one thing feel unsure completing
sadness,feel cant stop aching
sadness,really feel like everything worthless
fear,nervous remember heart beating loudly feeling insecure others watched stage
fear,bet taylor swift basks knowledge boys writes songs probably feel tortured
joy,choose someone feel obligation truthful completely faithful person utmost loyalty
sadness,ill admit awesome feeling many time didnt know say froze went mind blank observing
sadness,step back game day day even odds success seem favor love feel nothing ugly inside remind really nothing could prettier
sadness,run always run controlled pretty well dinner even feel guilty
sadness,mean rude feel want troubled thoughts right
sadness,want learn something new feeling dull
anger,think many years spent feeling furious dramatic perspective world extremely sensitive nature
fear,feel weird making exact replica someone else work
sadness,woke early felt strangely alert good contrast usual mornings feeling groggy cranky sore
fear,feel bashful discussing closet gamer yet millions people around world thing
sadness,feeling needy
joy,feel satisfied calm recording dream presented like higher message intended
sadness,ive holding onto making feel rotten
fear,felt like spock amongst world humans difficult reciprocate feelings someone terrified hurt refused let people world
fear,began day feeling intimidated courthouses designed intimidate ended day cheerfully chatting judge chambers
joy,feel like watching delicious trash always want include partner ritual
anger,awhile started feeling irritated annoyed time one kids filled pants
anger,feel kind petty blogging
fear,sweden
joy,feel truthful parable evident aspects life
joy,feel phrases sentences wonderful story
sadness,feel idiotic wierd class
joy,turned night feeling mellow could expected given circumstances
joy,got feeling halfway convinced
sadness,feel almost resigned loss hopes dreams
sadness,feel rejected men like gave asking ran away
sadness,feel awful know get child write letters draw certain things make words paper letters back onto card laminate cut without totally losing shit
joy,die wont man make feel lifes worthwhile
fear,thinking might ready feeling unsure assessment
anger,holding anger holding back still choose clearer mind feel without executing someone something petty
fear,feeling apprehensive journey would using public transportation whole way
anger,understand may feel rude keep destroying house face
joy,havent let truley sink depressed state mind feeling like everyone trusting one basically wanting die since freshman year
fear,im starting feel overwhelmed comes research book
sadness,woke feeling aching heart
anger,watching violent movie
sadness,want feel ugly
sadness,feel low low low feel like dont fail cant fail fault whether actually im able sigh major fail fail fail
joy,feel bouncy weird strange love
sadness,feel weepy like moment could burst tears
anger,started feel cranky tired resupplied vitamins
joy,feel like needs shes content guess working along shes little pipsqueak
joy,feel extremely lucky blessed work outstanding young ladies
sadness,feel kind dumb
sadness,talking growing number friends past months telling stories feeling emotionally beaten life
sadness,cant help feel helpless
fear,feel insecure sis
joy,feeling playful
sadness,usually solution kinds situations right feel unhappy run
sadness,started open started feel like stephanie embarrassed life setbacks tackles difficult situations humor honesty
sadness,baby feel crappy husband seem want sex often
sadness,sort feeling like emotional undercurrent im waking sort spiritual inner heart kind way
sadness,always feel sadness aching heart look
fear,learned lot little project youre ever feeling intimidated diy project go
fear,dont know feeling fearful
joy,feel obligation make sure understand exactly believe coming
sadness,feel could speak volumes ignored
joy,know sounds tad silly lovely feeling capturing moments im glad people like
sadness,really enjoyed feeling alone
anger,feel furious ra mug polite
joy,feel keen come china experience life new country
fear,know feel bashful defending
fear,tired feeling overwhelmed everyday responsibilities brings point post
joy,see makes feel gorgeous
sadness,feel hated despised yet make happy even sad matter minutes
sadness,im completely fine bowler providing readers might going similar identity crisis message alone urgings longings normal shouldnt made feel ashamed
anger,also love seeing star emerge feel like years everyone gon na know one people says obnoxious things like bah
sadness,im still feeling pretty gloomy truth told
fear,feel like im frickin uptight let loose enough love anyone else importantly
fear,angry employers invest us training pay increases bank holidays feels like injustice feel helpless
joy,feel positive emotions sort
joy,feel strong enough take pain thinking wrong
sadness,feel suffering turmoil also feels
anger,start feel annoyed whole thing end ordering pizza
anger,feeling allows distracted life caught someone elses even though theyre real people
joy,feel awkwardness whenever something acceptable longer
joy,know many young women sometimes feel like career much important family would like share fact biological clock certain time may wish children yet man still children
joy,feel often entertained people saying came mind moment instead making stories adding extras especially
fear,feel weird seldom people eat
joy,bring feel satisfied song selection
joy,somehow feel artistic le carried looking strolling
joy,feel really lucky everything year job roof head heat ability give kids fun christmas little left want pass forward saying goes grace god go
fear,still feel insecure
sadness,didnt let swim leave feeling defeated
anger,however feel way hostile anyone capable violence
joy,got haircut today yes feel handsome
fear,stand feeling threatened looking shoulder
sadness,feel bad searching rule
anger,feel like people aggravated
joy,feel ought valued far greater extent currently
joy,im saying cant accept way treat differently feel accepted loved
sadness,scanned ground methodically feeling hopeless
sadness,admit feeling little foolish first arrived
joy,love working able set hours writing something feel passionate
anger,feel irritated useless hopeless
anger,feel especially strongly since hated teeth forever one unlucky ones got bad genetics even worst orthodontist pediatric dentist
sadness,glimpsed visitor could feel disturbed somehow whether mad confused something similar
fear,played great set feel really hesitant ask
joy,feeling quite pleased fact one coupon use grocery
joy,seriously feel talented
joy,feeling happy stressed time cant come photos photography tomorrow
joy,dont know feel moment charming naive style drawing looks like cant draw
fear,left feeling uncertain exactly pulse offer series
sadness,feel end run broke personal record enjoyed fog rising boardwalk sunrise sense accomplishment knowing beat mind
joy,walk car feel triumphant secret
joy,ive found truly wonderful people feel incredibly blessed met
joy,plan volunteer red cross helping immigrants refugees feel welcomed accepted local community
sadness,feel shitty days work
joy,feel night time something utterly charming
fear,starting feel nervous lifetime fandom build stood donning vip sticker
sadness,quit job financial services feeling disheartened disillusioned took complete u turn career returning university studying something different id job
joy,feeling faithful project
anger,feel impatient comes certain issues
sadness,still feel empty lonely
sadness,feel perpetrator punished full extent law
joy,feel carefree days youth
joy,feel pleased design
joy,feel good
joy,make friends feel pretty comparison although clever
fear,feeling slightly apprehensive tomorrow crim exam hefty weighting point sweating buckets reaching razor blades
sadness,usually feel regretful guilty quarrel usually turns talk quarrel yell loudly throw things beside mama
sadness,feel ugly stop lazy dont embarrass friends wear white could short hair without feeling fat really want short hair still able kiss someone without feeling like pull away
joy,believe decided catch bus burgos feels like smart compromise feet bodies
anger,feel resentful trying control also want anything rash
sadness,feel depressed
joy,apply walk fast around room rush air essence lips feels cool
sadness,feared would happen amp last weeks ep playing pictured way makes every scene annie auggie make feel miserable
joy,dunno feeling came im terribly keen feel
sadness,feel terribly neglectful blog
sadness,feel slightly unimportant
joy,advocate war feel reassured living close military base people trained assist natural disasters
joy,feel respected loved school within community
anger,ever feel anymore one us gets angry
joy,feel intelligent people ones pay attention world around think issue pass judgment make decision stand
fear,feel doubtful could wrong
sadness,didnt respond feel days cant put fake smile pretend like life great let negativity creep
joy,feel like time precious dead saying would interested time saving devices always looking save time
anger,hate im refered game guitar hero mean cool got name kinda lol feel bitchy stay fuck outta way
sadness,found old pip constantly stage rather disruptive sometimes reacted along young pip sometimes sometimes moved position dramatic scenes left feeling rather awkward
anger,feeling extremely annoyed restless
fear,go back day however hear jesus words son man authority forgive sins earth feel electrified doubtful
fear,feel presence god something fearful happens became aware unworthiness short comings yes sin
joy,feel virtuous eating sort penance taste bad feel alive crunch
sadness,still lurgy feel rotten
sadness,get nasty feeling posts boring pants everyone
sadness,delicious apple pie needless say feeling pretty groggy
sadness,im feeling pathetic cant take rejection wont call
joy,ive feeling sooo inspired wear black white lately probably follow cool aussie girls amazing style instagram
joy,dont really feel presence im eager hear news
anger,feel frustrated sad
sadness,hate feeling empty numb
fear,go tell someone feel kick gets shy stops
sadness,wake real life husband feel melancholy towards day
fear,began training january least mentally preparing train remember specifically feeling apprehensive running spring marathon
anger,feel deeply offended rhetoric behaviour apc leaders expected remain silent face expressions
fear,decided one lesson enough practise fair say feeling slightly apprehensive walking nursery slopes
sadness,felt like couldnt let believe feelings getting men phone call fake
sadness,didnt end popular guy feeling rejected like break thought time la
sadness,ive recently one experiences left feeling inadequate
fear,im feeling bit apprehensive excited well
joy,talk feel like lot gets resolved
sadness,feel horrible people whose babies accidentally suffocate blankets stuff guilt must terrible case like avoidable frustrating anything
sadness,told felt better would go still feeling really lousy
sadness,feel sorry eat mangoes amp grateful
joy,feel blessed honored get parents
joy,slept deeply still feel energetic well today
sadness,wondering though content feeling much discontent
joy,feel pretty transition
joy,knew werent giving thanks wasnt feeling thankful either
joy,feel like supporting
sadness,feeling depressed everyday midst dream life
joy,feelings would like share valued reader
joy,feel like allergen free cooking making way better prepared christmas recipes accommodate family restrictions
sadness,feel bad last years started realize matter many friends know doesnt matter im still loner
sadness,help feel life series unpleasant accidents stumbling trying right thing
sadness,feeling somewhat defeated completely loss next
joy,feel frames could give works elegant appearanc ewhich interested movign images created final drawing assessment
joy,im sat feeling rather pleased bathroom bedroom clean tidy trying work wear uv paint party evening
joy,think known tyrant dedicates whole life making money use feel superior control life
fear,believe feel petrified
joy,feeling completely mellow perfectly calm
fear,feel like im almost uh afraid everything speak
joy,feel writing sell pander popular taste make money sucker game
joy,woke today feeling thankful
joy,dont think misinterpreted helped feel assured sort work continued
sadness,remember feeling awkward strange first weeks
sadness,found really sad people feeling unhappy expectations marriage relationships based ideas dont seem connect real lives
fear,im slow feel weird returning home without mum anymore
joy,still feeling ok energy distance wise etc slow frustrating lot
joy,feel excited imagining
sadness,feel hated betrayed paranoid childish hurt
joy,got high pleasing feelings appear deceptively benevolent like convenience comfort
joy,feel privileged know every one
sadness,feel im ugly feel dont deserve exist world
joy,smile feel gorgeous
anger,ive spent years feeling resentful trying curb feeling resentment
fear,feeling bit restless days
sadness,feel horrible winter
sadness,describe happy feel emotional may sophat year old patient kandal said recovery room
sadness,feeling little homesick colorado
fear,hope next quote able let special someone knows im feeling insecure understand matter much trust
joy,feel hopeful excited get better fun go
joy,feel good players play whether play right left centre back role
fear,feel slowly uncoiling fearful place inside enjoying time hope enjoy starting actually swim around bit rather walk water
joy,feel honored among best illustrators nominated year chesley award
joy,feel privileged invited treating hoard care
sadness,get max feel exhausted crawl back upstairs find sleep another hour week try make sure workout days
fear,somehow feel terrified though dare slow walk place catch breath billy blanks jump screen yell face fierceness
joy,two specialties law mechanical engineering say truth like better utilize knowledge psychology languages rather engineering feel sure capacities needed nowadays
sadness,feeling melancholy sad depressed ok even angry second year without oldest youngest daughters klysta passed days ago andrea chosen family
sadness,im feeling lonely scott work
sadness,use data comparatively determine whether feeling disappointed elated inspired et cetera
joy,im wound little tightly remember paranoid feelings vividly mellow ones
sadness,ill admit hes pretty good designer feel like hes totally fake
fear,feeling uncertain insecure fearful
joy,feel relieved ready move next series challenges life offer
fear,remember mum crying holding door tried break feeling terrified
anger,feel like kinda bitchy alot people whatever
fear,tired feeling like helpless victim stuck circumstances slowly started making changes
anger,feel envious proud time possible feel way
anger,im feeling angry think strop ruffling air inflating position exaggerating issue
joy,gradually morphed someone feels superior peoples kids complain dinner dont want eat zucchini allowed eat pop tarts sugary cereal white bread breakfast
sadness,feel blood pound back ears throw hurts point blank period hurts
sadness,ive feeling disheartened young adult genre quite badly written novels one restored spirit captured heart
joy,feel peace relaxed anxious nervous scared
joy,feel glad cool mama
joy,feel advice useful people already believe
sadness,able look face without feeling awkward
joy,need upfront feel im valued work
joy,guess feel charming uber comfortable feel like lady
anger,feeling irritable cranky often
sadness,moved uni today feel homesick lonely useless part mes saying fuck go home get job sod degree
sadness,also feel pain along characters also feel devastated depressive pain suffer endure
fear,feel agitated jumpy like ate bottle caffeine pills
joy,think feeling playful lonely cuz creature living room
fear,wasnt sure could concerned people around feeling incredibly apprehensive turning back may well dancing cliff face
joy,love life feel optimistic lucky
anger,seoul could help feel jealous
fear,feeling little skeptical today
fear,cant believe feeling afraid disdain hatred instead actual nothingness laced small dash repulsion
sadness,awoke hour feeling groggy
sadness,made feel like pathetic piece shit suffer mental illness multiple actually
joy,must say im feeling optimistic
anger,still feel like somehow one family members horribly wronged tragic events transpired today
anger,feel bitchy today today realized couldnt count friends anymore
joy,feel stay important word reminds feeling get sometimes
joy,feel like supporting households get paid hours per week
sadness,deny right feeling disillusioned avon
joy,occupied feeling triumphant
fear,feel weird criticizing game much feel weird praising
joy,im feeling one calmer states past month pleasant
sadness,sounds really predictable usual absolutely heartrending time first lover rang one day announced found another woman never saw hurt positive true love
sadness,feel hopeless serious need encouragement
sadness,feel disappointed impatient frustrated guitar player
joy,feel oprah draw women friendly dealt struggles openly weight abuse seems genuinely care issues concern lives
anger,feel anybody got angry awkward silence
joy,may feel sure wisdom comes age help
anger,want please feel resentful get exhausted feel time painful warmed properly
joy,pretty much everything place feel terrific going affair
anger,feel mad connection body decided kick side
joy,feel convinced annoyance
fear,stopped feeling intimidated looking wod guess means learning find right balance scale push harder
anger,wont anymore wont allow stressed feeling rushed like race better one
anger,read watching film argued makes sense author feel offended changes truth made film used attempt effect real life verdicts
joy,feel point ought add sincere apologies taking long commit tag blog hand baton someone else run
fear,know feel threatened job even long years get really tired ganging get
sadness,trying friend wouldnt feel rejected
joy,slept woke feeling much better come foggy haze headache subsided shakiness gone
fear,im also pretty close exiting window feel like makes look freakishly neurotic
sadness,feeling think dumb rather
fear,staying alone biology building dark
joy,told living wyatt makes feel like bowie living iman gorgeous long limbed ebony creature striding lounging
joy,ive come home holidays feel much mellow
joy,feel badly something makes really happy
joy,even feel students passionate hardworking personal project
joy,suppose lot things feel feeling well
sadness,im feeling little disillusioned vision therapy lately
anger,feel gift cards thoughts rude
sadness,staying word memorizing scripture feel god showing ugly heart
joy,love shopping sites feel welcomed maybe phrases story images extra services
anger,feel pretty tortured work job often inspiration strikes im work
anger,feeling rather bitter rather defeated multitude subjects lets talk main one
joy,pray every day little ones feel safe loved protected chosen
joy,know stronger anythings else life heal faster like right think already feel ok
sadness,hurt went found someone worthwhile cast mind back times still make feel ashamed
sadness,feel ungrateful
fear,consulted aunt doctor partially wanted counsel without copay mostly feeling doctors would skeptical
joy,feel honoured part fabulous team
fear,feel nervous dont feel super confident trophy
joy,feel learn things dont turn perfect
sadness,go let tell feel unhappy
sadness,im feeling kind lonely right even though talked jack sarah lot friends
joy,feel something divine happening
joy,feel thankful able figure ways get around deal minor side effects dealt anything serious
fear,conveniently uninformed specifics situation left feeling helpless wanting ever get away
fear,guess like porn star looking inch rubber dong feeling bit hesitant whole thing
sadness,feel like tna missed trick keeping tag team crimson amazing red alive
joy,worked really hard make blog place would like feel welcomed hopefully inspired
fear,admit feel skeptical making changes wonder natural sweeteners better body refined sugars sugars end
joy,ill think thought theres much mess daily basis starting feel less like bit charming untidiness like episode hoarders
sadness,im personally happy grateful embracing moment feel patriotism abused
anger,finally fell asleep feeling angry useless still full anxiety
joy,really feel valued
sadness,expect reps make ache really especially often lift heavier reps say feel muscles aching already
joy,ive thinking maximize potential know make wee apartment spacious feeling glamorous flat
fear,feel fearful vulnerable within relationship see others trustworthy turn trust
fear,thankful though things bit overwhelming sent people lives help feel neurotic
sadness,wanted upgrade characters creating engage battles similar setting transformations raising energy flashy colors chaotic explosions feelings desperation adversary beaten etc
joy,feel important support extra money able go pub drink anywhere else wish
joy,feel determined nudge holy spirit end slumber self love
sadness,feel hopeless
fear,almost feel intimidated attempt describe
sadness,made take mind feeling soooo rotten
fear,feel shaken im far far age group targeted
sadness,commented trying keep voice reasonably free feelings gripped believe beaten hendricks
sadness,general feeling unpleasant heaviness stomach
fear,feel pretty terrified immature ready
sadness,feel bit rotten
joy,finally feel content life
sadness,im faced dreading feeling wont work vain
sadness,feel ashamed youre perfectly fine granting
fear,almost feel startled
joy,also feel much triumphant homework reading
fear,remind reminded passions opinions feel incredibly agitated frustrated ball energy channel travel
sadness,feel need punished
sadness,want push think terms discipline pro goal pro choice immediately default feeling deprived
sadness,feel like times lauren trying help friend see boyfriend lousy guy yes might best friends never let go good
joy,know also upset increasingly get feeling pleasant accessory
joy,feel support women infertility problems valuable personal counseling available restricted number individuals
joy,dint feel strong pain yet cramping comes go like used menses
sadness,im feeling whiney going alone conversion
joy,im going feel fabulous amazing healthy
sadness,feel absolutely guilty crazy time pregnant suppose get rounder
anger,im feeling petty right
joy,feeling fabulous week though feel convicted saying attitude turned around health thankful trying share positive attitude people
sadness,feel weepy lot
joy,feel honoured prizes year local photography exhibition recently asked getty images quite number photos part world renowned collection photographic images
joy,feel really lucky making living think important pass word tap dance
sadness,stray feel pains loneliness discontent
anger,im feeling rebellious need something relieve turmoil body
anger,forgot take meds morning predictably feeling irritable less predictably sitting day thinking ima kill bitch dont get hands chocolate cupcake
fear,feel suspicious see redundant use credential
joy,feel like crap supporting living instead mom
sadness,hope two feel vain
joy,feel eager anticipation
fear,feel like town loner things need day suspicious bag
sadness,even got mad god little feel like im punished
joy,feel blessed know personally admire things accomplished
sadness,im going say know activities balance start feeling burdened something supposed fun
sadness,feel ugly lately
joy,feel like ive got content print work read
fear,im going lie sometimes hearing say things recordings makes feel weird insecure like quote states good thing
sadness,remember feeling lonely child room even though lot toys keep occupied
sadness,feel place tragic
sadness,feel rejected although admit used
joy,feel id passionate invest time mention enjoy writing
sadness,spent rest morning feeling discouraged disappointed
joy,feel important give views regarding events took place general synod last week
fear,feel pressured come something else funny write
fear,feel strongly could helping people unsure within us
sadness,know still feels unpleasant
fear,wish didnt feel afraid talk new people
fear,ive feeling indecisive lately
sadness,feel bit helpless good terms step plate get ready
sadness,feel broke inside wont admit cause miss soo hard say goodbye comes
joy,imagine countless law suits counter law suits based people feeling boo hoo hoo precious civil rights violated
joy,boy admitted medicine school uncle coming back fron canada next week father told happy moment
anger,sick feeling hated lonely dumb unloved forgotten
fear,confess feeling nervous made way event venue
sadness,think sleeping good since ive feeling sleep deprived summer
joy,feel festive christmas week
sadness,hope didnt get feeling didnt want make feel bad bringing
anger,feel market somewhat dangerous position traders end wrong side right
sadness,think worse feel shoes would devastated least far concerned sort blue
joy,feeling absolutely ecstatic morning
joy,feel sincere
sadness,im going help feel regretful buy ice cream next time see
joy,feel pain remember im thats relax little breathe normally calm
sadness,felt like talking know say cause real damage least cousin feel alone needed anyway tell could take battalion necessary
sadness,asked comment feel receiving award said feel embarrassed right
sadness,feel like gone broke
joy,feel privileged think homes grew still exist
anger,left feeling annoyed angry thinking center stupid joke
sadness,guess feel ugly sort way
joy,tuck fear back quiet chamber heart ponder another day feeling less brave
sadness,feeling stressed little lonely earlier feel stressed lonely sick
joy,feel cute girlie dress way
joy,say first time filled chocolates feel like fabulous job
joy,need place feel valued
sadness,know let people decide happiness damn feels like either risk happiness please people much hate school school fucking pathetic deserve time money
fear,slow bit stay partly feeling like start win give partly afraid push kill trying stay
joy,feeling joyful despite caribbean island fantastic diving learning new exciting skills dive master coaching clients north america bring joy
joy,may smitten shy might even bat eyelashes times smile cant help feel charmed
joy,feel like ass ask someone delicious looking dessert made
fear,lie bed legs constant motion feel control shaken tapped something
anger,mustered energy feel christmassy remember feeling kind pissed bad timing everything
fear,im years old must admit made feel uncomfortable
sadness,remember started feeling homesick
sadness,feeling low
sadness,feel like miserable im happy
fear,im feeling bit neurotic ill lose job
sadness,feel submissive place work environment
anger,feel bit insulted nothing like women bloody hate incessant bitching general bloody nothing time
joy,im feeling festive dont think posted good picture tree
anger,feeling angry feeling self conscious shorts wishing wasnt alone
sadness,feel love men abused
sadness,feel like discontent work load
anger,ive feeling really spiteful lately think ill sit listen rammstein
fear,feel like soda shaken turbulently flew violently container moment felt air exchanging freedom
anger,feel hostile thought taking credit card
fear,feel insecure lack confidence
anger,feel bitter see become
joy,didnt go cardboard goals feel successful turned
fear,aware one traumatic memory surfacing leaving feeling nauseas gently terrified always
anger,ive feeling disgusted ashamed
joy,exactly weeks train prepare perfect week one almost done im feeling excited trying get nervous look ahead longer runs schedule
joy,recall ever feeling carefree
sadness,feel like ive missed calling vet could spend day every day visiting gods precious magnificent creatures
joy,guess man knows make every one feel special
fear,feel like havent shaken lately
joy,feeling reassured wave missing hits
fear,feel like put bag shaken otherwise ok
fear,im feeling wimpy know one year old sent old country year parents work
sadness,im tired feeling dumb
sadness,im really fan seafood feel quite sorry people kill live clams prawns shark fins
joy,normally able express feel particularly im excited happy
sadness,feel like deserve punished way amp search ways self harm non lethal overdose etc
joy,feel like recipes kinds words title perfect famous ultimate grand supreme ect
sadness,im taking naps day havent really feeling sleep deprived day ive cut caffeine intake third used since coming back uk
sadness,feel like mollusk repeatedly beaten wet cloth stabbed times back sake
sadness,feel foolish
sadness,feel dumb going
fear,feel agitated annoyed see feel darkness everywhere
sadness,feel messy
joy,feel going sneeze therefore beloved think
anger,think unconsciously subconsciously feel like vile vile
joy,feel valuable today ever
fear,close eyes recite following mantra every day whenever feeling unsure frustrated shiftless progress towards top body
sadness,say still feel completely rotten constantly exhausted
joy,feel sooo soo lucky
